name,author,content
送方外上人,刘长卿 〔唐代〕,"
                    孤云将野鹤，岂向人间住。
莫买沃洲山，时人已知处。 
                "
鹊桥仙·七夕,苏轼 〔宋代〕,"
                    缑山仙子，高清云渺，不学痴牛騃女。凤箫声断月明中，举手谢、时人欲去。
客槎曾犯，银河微浪，尚带天风海雨。相逢一醉是前缘，风雨散、飘然何处？ 
                "
燕燕,佚名 〔先秦〕,"
                    燕燕于飞，差池其羽。之子于归，远送于野。瞻望弗及，泣涕如雨。
燕燕于飞，颉之颃之。之子于归，远于将之。瞻望弗及，伫立以泣。
燕燕于飞，下上其音。之子于归，远送于南。瞻望弗及，实劳我心。
仲氏任只，其心塞渊。终温且惠，淑慎其身。先君之思，以勖寡人。 
                "
送别诗,佚名 〔隋代〕,"
                    
杨柳青青著地垂，杨花漫漫搅天飞。
柳条折尽花飞尽，借问行人归不归？

                "
贺新郎·送胡邦衡待制赴新州,张元干 〔宋代〕,"
                    梦绕神州路。怅秋风、连营画角，故宫离黍。底事昆仑倾砥柱，九地黄流乱注。聚万落千村狐兔。天意从来高难问，况人情老易悲难诉！更南浦，送君去。
凉生岸柳催残暑。耿斜河，疏星淡月，断云微度。万里江山知何处？回首对床夜语。雁不到，书成谁与？目尽青天怀今古，肯儿曹恩怨相尔汝！举大白，听金缕。 
                "
送朱大入秦,孟浩然 〔唐代〕,"
                    游人五陵去，宝剑值千金。
分手脱相赠，平生一片心。 
                "
送魏万之京,李颀 〔唐代〕,"
                    朝闻游子唱离歌，昨夜微霜初渡河。
鸿雁不堪愁里听，云山况是客中过。
关城树色催寒近，御苑砧声向晚多。(树 一作：曙)
莫见长安行乐处，空令岁月易蹉跎。 
                "
忆江上吴处士,贾岛 〔唐代〕,"
                    闽国扬帆去，蟾蜍亏复圆。
秋风生渭水，落叶满长安。
此地聚会夕，当时雷雨寒。
兰桡殊未返，消息海云端。 
                "
别薛华,王勃 〔唐代〕,"
                    送送多穷路，遑遑独问津。
悲凉千里道，凄断百年身。
心事同漂泊，生涯共苦辛。
无论去与住，俱是梦中人。 
                "
送沈子归江东,王维 〔唐代〕,"
                    杨柳渡头行客稀，罟师荡桨向临圻。 
惟有相思似春色，江南江北送君归。 
                "
送魏二,王昌龄 〔唐代〕,"
                    醉别江楼橘柚香，江风引雨入舟凉。 
忆君遥在潇湘月，愁听清猿梦里长。 
                "
临江仙·送王缄,苏轼 〔宋代〕,"
                    忘却成都来十载，因君未免思量。凭将清泪洒江阳。故山知好在，孤客自悲凉。 
坐上别愁君未见，归来欲断无肠。殷勤且更尽离觞。此身如传舍，何处是吾乡。 
                "
饯别王十一南游,刘长卿 〔唐代〕,"
                    望君烟水阔，挥手泪沾巾。
飞鸟没何处，青山空向人。
长江一帆远，落日五湖春。
谁见汀洲上，相思愁白蘋。 
                "
